<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2088055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Keramische Techniken | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 88055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2094055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Textile Techniken | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 94055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LB%2097055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Wirtschaftsgeräte | Geräte und Maschinen | Produktion und Herstellungsverfahren | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LB 97055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2010055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 10055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2011055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Hausrat, Möbel | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 11055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2012055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Kleidung, Tracht, Mode | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 12055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2017055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Nahrung, Nahrungszubereitung, Ess- und Trinkgewohnheiten | Materielle Kultur und Konsum | Materielle Kultur und Wirtschaftsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 17055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2029055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Religiöse Praktiken und Vorstellungen - Einzelstudien | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 29055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2031055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Totenrituale und Jenseitsvorstellungen | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 31055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2039055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Christliche Objekte, Objekte der Volksfrömmigkeit | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 39055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2041055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Magisch-religiöse Spezialistinnen und Spezialisten | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 41055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2054055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Anthropologie der Pflanzenwelt | Wissen und Wahrnehmung | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 54055
<https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2056055>	Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Krankheit und Medizin, Gesundheit | Wissen und Wahrnehmung | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen	LC 56055
