uri,notation,label_german
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2041055,LC 41055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Magisch-religiöse Spezialistinnen und Spezialisten | Religionsethnologie | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2054055,LC 54055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Anthropologie der Pflanzenwelt | Wissen und Wahrnehmung | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2056055,LC 56055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Krankheit und Medizin, Gesundheit | Wissen und Wahrnehmung | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2064055,LC 64055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Orts-, Flur-, Straßen-, Hausnamen | Namen | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2066055,LC 66055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2072055,LC 72055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sprichwort und Redensart | Sprachformeln | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2073055,LC 73055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Spruch und Inschrift | Sprachformeln | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2076055,LC 76055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Allgemeines, Theoretisches, Zusammenfassendes | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2078055,LC 78055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Schwank, Beispiel und Anekdote | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2081055,LC 81055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Märchen | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2082055,LC 82055,Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Sage | Erzählformen | Literaturethnologie | Sprache und Literatur | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2086055,LC 86055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Lied und Gesang | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2087055,LC 87055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Musik, Klang, Akkustik | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LC%2088055,LC 88055,"Mittel- und Westdeutschland | Deutschland | Mitteleuropa | Europa | Tanz | Theater-, Musik- und Kunstethnologie | Kunst und Wissen | Sozial- und Kulturanthropologie. Empirische Kulturwissenschaft | Hessen"
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LH%2029924,LH 29924,Westliche Länder: | Deutschland | Lexika der Museen | Museumskunde. Museumskataloge | Allgemeines. Allgemeine Kunstgeschichte | Kunstgeschichte | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2010680,LK 10680,Hessen | Länder (Verwaltungseinheiten) | Deutsche Kunstgeschichte nach Ländern und Landschaften | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2011140,LK 11140,Einzelne deutsche Länder | Kunsttopografie Deutschlands | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | Hessen
https://rvk.uni-regensburg.de/regensburger-verbundklassifikation-online#notation/LK%2080680,LK 80680,Hessen | Länder (Verwaltungseinheiten) | Geschichte der deutschen Architektur nach Ländern und Landschaften | Architektur | Deutsche Kunstgeschichte nach Gattungen | Deutschland | Kunst nach Ländern bzw. Kontinenten | Kunstgeschichte | allgemein
